time ms,free,max,total
60,12224856,259522560,16252928
1060,11285728,259522560,16252928
2060,11262616,259522560,16252928
3060,6303432,259522560,16252928
4060,13117360,259522560,39333888
5060,13117360,259522560,39333888
6060,13117360,259522560,39333888
7060,13117360,259522560,39333888
8060,12939928,259522560,39333888
9060,12905576,259522560,39333888
10060,12905576,259522560,39333888
11060,8718672,259522560,39333888
12060,5581200,259522560,39333888
13060,7158808,259522560,39333888
14060,1394168,259522560,39333888
15060,35033928,259522560,65101824
16060,36085744,259522560,65101824
17060,20354432,259522560,65101824
18060,21929616,259522560,65101824
19060,22437792,259522560,65101824
20060,25074752,259522560,65101824
21060,25074832,259522560,65101824
22060,28747136,259522560,65101824
23060,7303232,259522560,65101824
24060,20323296,259522560,65101824
25060,11136488,259522560,65101824
26060,12321672,259522560,65101824
27060,17639472,259522560,65101824
28072,11742624,259522560,65101824
29072,9340944,259522560,65101824
30072,9329608,259522560,65101824
31072,9297736,259522560,65101824
32072,9224224,259522560,65101824
33072,9177240,259522560,65101824
34225,64575368,259522560,217395200
37126,7560,259522560,259522560
42809,920,259522560,259522560
44515,400,259522560,259522560
45630,432,259522560,259522560
